2018-02-21 12:24:20,537 INFO     Fold: 1, epoch: 0, batch: 43, Loss: 11.369472, Accuracy: 45.31250
2018-02-21 12:24:20,557 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr44.pickle 
2018-02-21 12:24:20,661 INFO     DATA FORMATTER: Retrieved the pickle file tr44.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:24:35,494 INFO     Fold: 1, epoch: 0, batch: 44, Loss: 12.882571, Accuracy: 48.43750
2018-02-21 12:24:35,515 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr45.pickle 
2018-02-21 12:24:35,607 INFO     DATA FORMATTER: Retrieved the pickle file tr45.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:24:51,201 INFO     Fold: 1, epoch: 0, batch: 45, Loss: 9.501724, Accuracy: 62.50000
2018-02-21 12:24:51,222 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr46.pickle 
2018-02-21 12:24:51,311 INFO     DATA FORMATTER: Retrieved the pickle file tr46.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:25:06,042 INFO     Fold: 1, epoch: 0, batch: 46, Loss: 11.549631, Accuracy: 50.00000
2018-02-21 12:25:06,063 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr47.pickle 
2018-02-21 12:25:06,155 INFO     DATA FORMATTER: Retrieved the pickle file tr47.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:25:20,959 INFO     Fold: 1, epoch: 0, batch: 47, Loss: 7.861652, Accuracy: 60.93750
2018-02-21 12:25:20,978 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr48.pickle 
